% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
797	1	0	7	0	28	9422	0	1	1	0
798	1	0	40	0	28	4587	0	1	0	0
798	1	0	44	0	28	4587	0	1	1	0
799	1	0	65	0	28	9422	0	1	1	0
800	1	0	44	0	28	4587	0	1	0	0
800	1	0	45	0	28	4587	0	1	1	0
801	1	0	24	0	28	9422	0	1	1	0
802	1	0	47	0	28	9422	0	1	1	0
803	1	0	12	0	28	9422	0	1	1	0
804	1	0	52	0	28	9422	0	1	1	0
806	1	0	33	0	28	4587	0	1	1	0
806	1	0	63	0	28	4587	0	1	1	0
807	1	0	42	0	28	9422	0	1	1	0
808	1	0	8	0	28	4587	0	1	1	0
808	1	0	63	0	28	4587	0	1	0	0
809	1	0	32	0	28	9422	0	1	1	0
810	1	0	11	0	28	9422	0	1	1	0
812	1	0	14	0	28	9422	0	1	1	0
814	1	0	9	0	28	4587	0	1	1	0
814	1	0	58	0	28	4587	0	1	1	0
815	1	0	59	0	28	9422	0	1	1	0
816	1	0	9	0	28	3062	0	1	0	0
816	1	0	19	0	28	3062	0	1	1	0
816	1	0	26	0	28	3062	0	1	1	0
818	1	0	19	0	28	4587	0	1	0	0
818	1	0	46	0	28	4587	0	1	1	0
820	1	0	22	0	28	3062	0	1	1	0
820	1	0	27	0	28	3062	0	1	1	0
820	1	0	46	0	28	3062	0	1	0	0
821	1	0	4	0	28	9422	0	1	1	0
822	1	0	10	0	28	4587	0	1	1	0
822	1	0	22	0	28	4587	0	1	0	0
823	1	0	29	0	28	9422	0	1	1	0
824	1	0	64	0	28	9422	0	1	1	0
826	1	0	40	0	28	9422	0	1	1	0
828	1	0	45	0	28	9422	0	1	1	0
831	1	0	49	0	28	9422	0	1	1	0
832	1	0	52	0	28	4587	0	1	1	0
832	1	0	68	0	28	4587	0	1	1	0
834	1	0	16	0	28	3062	0	1	1	0
834	1	0	33	0	28	3062	0	1	0	0
834	1	0	52	0	28	3062	0	1	0	0
835	1	0	24	0	28	4587	0	1	1	0
835	1	0	42	0	28	4587	0	1	1	0
836	1	0	7	0	28	4587	0	1	1	0
836	1	0	33	0	28	4587	0	1	0	0
837	1	0	12	0	28	9422	0	1	1	0
838	1	0	65	0	28	9422	0	1	1	0
843	1	0	1	0	28	9422	0	1	1	0
844	1	0	8	0	28	9422	0	1	1	0
845	1	0	32	0	28	9422	0	1	1	0
846	1	0	11	0	28	9422	0	1	1	0
848	1	0	14	0	28	4587	0	1	1	0
848	1	0	27	0	28	4587	0	1	1	0
849	1	0	61	0	28	9422	0	1	1	0
850	1	0	27	0	28	4587	0	1	0	0
850	1	0	47	0	28	4587	0	1	1	0
851	1	0	58	0	28	9422	0	1	1	0
