% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
491	1	0	10	0	28	9422	0	1	1	0
492	1	0	4	0	28	9422	0	1	1	0
493	1	0	29	0	28	4587	0	1	1	0
493	1	0	66	0	28	4587	0	1	0	0
495	1	0	68	0	28	9422	0	1	1	0
496	1	0	12	0	28	9422	0	1	1	0
499	1	0	11	0	28	9422	0	1	1	0
501	1	0	49	0	28	9422	0	1	1	0
502	1	0	14	0	28	9422	0	1	1	0
503	1	0	28	0	28	9422	0	1	1	0
504	1	0	7	0	28	9422	0	1	1	0
505	1	0	1	0	28	9422	0	1	1	0
506	1	0	45	0	28	9422	0	1	1	0
509	1	0	42	0	28	9422	0	1	1	0
511	1	0	16	0	28	9422	0	1	1	0
512	1	0	58	0	28	9422	0	1	1	0
513	1	0	26	0	28	9422	0	1	1	0
514	1	0	59	0	28	9422	0	1	1	0
515	1	0	63	0	28	9422	0	1	1	0
516	1	0	64	0	28	9422	0	1	1	0
517	1	0	10	0	28	9422	0	1	1	0
518	1	0	44	0	28	9422	0	1	1	0
519	1	0	4	0	28	9422	0	1	1	0
520	1	0	29	0	28	9422	0	1	1	0
521	1	0	66	0	28	9422	0	1	1	0
522	1	0	68	0	28	9422	0	1	1	0
523	1	0	9	0	28	9422	0	1	1	0
524	1	0	19	0	28	9422	0	1	1	0
525	1	0	44	0	28	9422	0	1	1	0
526	1	0	11	0	28	9422	0	1	1	0
527	1	0	22	0	28	9422	0	1	1	0
528	1	0	49	0	28	9422	0	1	1	0
530	1	0	12	0	28	9422	0	1	1	0
531	1	0	7	0	28	9422	0	1	1	0
533	1	0	1	0	28	9422	0	1	1	0
535	1	0	52	0	28	9422	0	1	1	0
536	1	0	14	0	28	9422	0	1	1	0
537	1	0	33	0	28	9422	0	1	1	0
538	1	0	42	0	28	9422	0	1	1	0
539	1	0	16	0	28	9422	0	1	1	0
541	1	0	61	0	28	9422	0	1	1	0
542	1	0	58	0	28	9422	0	1	1	0
543	1	0	59	0	28	4587	0	1	1	0
543	1	0	63	0	28	4587	0	1	0	0
544	1	0	26	0	28	9422	0	1	1	0
546	1	0	15	0	28	9422	0	1	1	0
547	1	0	10	0	28	9422	0	1	1	0
548	1	0	64	0	28	9422	0	1	1	0
549	1	0	4	0	28	4587	0	1	1	0
549	1	0	66	0	28	4587	0	1	0	0
550	1	0	29	0	28	9422	0	1	1	0
552	1	0	19	0	28	4587	0	1	0	0
552	1	0	46	0	28	4587	0	1	1	0
555	1	0	11	0	28	4587	0	1	1	0
555	1	0	22	0	28	4587	0	1	0	0
557	1	0	49	0	28	9422	0	1	1	0
558	1	0	28	0	28	9422	0	1	1	0
559	1	0	7	0	28	9422	0	1	1	0
560	1	0	45	0	28	9422	0	1	1	0
564	1	0	32	0	28	9422	0	1	1	0
566	1	0	12	0	28	9422	0	1	1	0
569	1	0	16	0	28	4587	0	1	1	0
569	1	0	61	0	28	4587	0	1	0	0
570	1	0	14	0	28	9422	0	1	1	0
571	1	0	61	0	28	4587	0	1	0	0
571	1	0	68	0	28	4587	0	1	1	0
572	1	0	42	0	28	9422	0	1	1	0
574	1	0	44	0	28	9422	0	1	1	0
576	1	0	58	0	28	9422	0	1	1	0
577	1	0	59	0	28	9422	0	1	1	0
578	1	0	26	0	28	9422	0	1	1	0
579	1	0	63	0	28	9422	0	1	1	0
580	1	0	15	0	28	9422	0	1	1	0
581	1	0	10	0	28	9422	0	1	1	0
582	1	0	64	0	28	9422	0	1	1	0
583	1	0	4	0	28	9422	0	1	1	0
